InstructionRoom1,default-Env1_left,manual,[ENV1] [OBJ] broom1,-1.23 -1.54 4,4.38938 -0.7648039 1.238859,-0.8193977 -0.2052588 0.5352161,8386.7866ms, 291496.9623msInstructionRoom1,default-Env1_left,manual,[ENV1]golfdriver,5 -1.87 5.3,4.465312 -0.7569065 1.286075,0.1261114 -0.1457686 0.9812479,16224.2395ms, 299334.414msInstructionRoom2,default-Env2right,manual,[ENV2]Book,-1.38 0.36 2.51,0.07725573 0.8004827 1.193752,-0.7657543 -0.2471195 0.5937613,6119.8234ms, 330546.8526ms
InstructionRoom2,default-Env2right,manual,[ENV2]Cocaglass,-1.11 0.35 3.33,0.06620383 0.80966 1.219281,-0.588616 -0.1818193 0.7877011,9290.027ms, 333717.0563ms
InstructionRoom2,default-Env2right,manual,[ENV2]apron,2.17 -0.28 5.44,0.1537812 0.8139582 1.218714,0.4938282 -0.1235709 0.8607346,28391.7064ms, 352818.7356ms
InstructionRoom2,default-Env2right,manual,[ENV2]Skis,2.79 -0.39 3.37,0.1346433 0.813158 1.196916,0.7029341 -0.09413332 0.7049983,31587.292ms, 356014.3212ms
InstructionRoom1,default-Env1_right,manual,[ENV1]iCESKATE,1.94 -1.94 4.48,4.400896 -0.7601156 1.240146,-0.6045368 -0.1965528 0.771947,8074.9103ms, 456442.3948msInstructionRoom2,default-Env2right,manual,[ENV2] [OBJ] bike,-2 -0.42 7,0.1066892 0.8132181 1.222263,-0.3400138 -0.1369564 0.9303944,4272.0632ms, 493958.3619ms
Env3,ENV2,manual,[ENV3]Hammer,-3 -0.57 2.26,-0.3393303 -0.02254581 -0.9950638,-0.7241876 -0.1562089 0.6716779,3152.2952ms, 616808.2019ms
Env3,ENV1,manual,[ENV3]Snowboard,-3 -0.5 3.28,-0.3639075 -0.008105278 -1.016241,-0.62916 -0.05604354 0.7752528,13534.3214ms, 741868.3012ms
Env3,ENV2,manual,[ENV3] [OBJ] vaccum,3 -1.15 4.73,-0.2763795 -0.01326942 -0.9906263,0.53428 -0.104025 0.8388824,30011.3775ms, 846981.6723ms
Env3,ENV1,manual,[ENV3] [OBJ] scooter,-2.07 -0.73 3.14,-0.340351 -0.001682281 -1.012519,-0.3476818 -0.0009540473 0.9376121,14021.3457ms, 915661.2175ms
