InstructionRoom1,default-Env1_left,manual,[ENV1]golfdriver,5 -1.87 5.3,4.426666 -0.7637272 1.282209,0.0375428 -0.2787105 0.9596411,1711.2611ms, 306135.2859msInstructionRoom1,default-Env1_left,manual,[ENV1] [OBJ] broom1,-1.23 -1.54 4,4.344678 -0.768405 1.250414,-0.927508 -0.2129216 0.3072354,5781.5021ms, 310205.2778msInstructionRoom1,default-Env1_left,manual,[ENV1]Tennisball,1.11 -1.89 3.56,4.457663 -0.762476 1.250776,-0.793364 -0.2490768 0.5554587,12111.7919ms, 316535.5674msInstructionRoom2,default-Env2right,manual,[ENV2]Book,-1.38 0.36 2.51,0.05294704 0.8046503 1.243997,-0.8297824 -0.1939605 0.5232976,5998.3316ms, 351759.6095ms
InstructionRoom2,default-Env2right,manual,[ENV2]Cocaglass,-1.11 0.35 3.33,0.05818748 0.8135805 1.243464,-0.6286626 -0.2203729 0.745801,12274.3321ms, 358035.6102ms
InstructionRoom2,default-Env2right,manual,[ENV2]Skis,2.79 -0.39 3.37,0.1343694 0.812808 1.226241,0.6956516 -0.1000344 0.7113804,31641.5338ms, 377402.8119ms
InstructionRoom2,default-Env2right,manual,[ENV2]apron,2.17 -0.28 5.44,0.08910871 0.8108377 1.255771,0.4105878 -0.1249227 0.9032231,36391.2909ms, 382152.5694ms
InstructionRoom1,default-Env1_right,manual,[ENV1] [OBJ] jeans,1.42 -1.77 1.86,4.372894 -0.7654047 1.228888,-0.8938721 -0.2837969 0.3470619,6950.1551ms, 394029.6484msInstructionRoom1,default-Env1_right,manual,[ENV1] [OBJ] leathergloves,2.19 -1.96 2.41,4.371076 -0.7700481 1.248269,-0.8386707 -0.3282818 0.4345832,10101.5724ms, 397181.0656msInstructionRoom1,default-Env1_right,manual,[ENV1]iCESKATE,1.94 -1.94 4.48,4.388772 -0.7645769 1.279674,-0.5940731 -0.2690832 0.7580709,9927.6982ms, 479706.6122msInstructionRoom2,default-Env2right,manual,[ENV2] [OBJ] bike,-2 -0.42 7,0.09126258 0.8127937 1.243843,-0.3535659 -0.1243208 0.9271114,4933.7372ms, 516049.2721ms
Env3,ENV2,manual,[ENV3] [OBJ] socks,-3.42 -0.81 0.65,-0.3325901 -0.01878738 -0.9855089,-0.8990195 -0.08910495 0.4287472,4697.882ms, 639786.3485ms
Env3,ENV2,manual,[ENV3] [OBJ] scooter,-2.07 -0.73 3.14,-0.2970958 -0.01108742 -0.9745893,-0.2381989 -0.1119613 0.9647414,21982.9362ms, 657071.4028ms
Env3,ENV2,manual,[ENV3] [OBJ] vaccum,3 -1.15 4.73,-0.2538657 -0.007655144 -1.017868,0.5111814 -0.1272481 0.8500009,32687.8654ms, 667776.3321ms
Env3,ENV1,manual,[ENV3]Snowboard,-3 -0.5 3.28,-0.3723359 -0.009934425 -0.9715405,-0.6342916 -0.0803315 0.768909,14319.9112ms, 907702.7875ms
