InstructionRoom1,default-Env1_right,manual,[ENV1] [OBJ] broom1,-1.23 -1.54 4,4.320143 -0.7647352 1.253395,-0.8734963 -0.08556536 0.4792526,6302.7613ms, 324999.4185msInstructionRoom1,default-Env1_right,manual,[ENV1]iCESKATE,1.94 -1.94 4.48,4.429627 -0.7656107 1.248268,-0.5272951 -0.2629307 0.8079773,9455.9455ms, 328152.602msInstructionRoom1,default-Env1_right,manual,[ENV1]Tennisball,1.11 -1.89 3.56,4.361647 -0.765069 1.227833,-0.8167117 -0.2337076 0.527601,13353.13ms, 332049.7865msInstructionRoom1,default-Env1_right,manual,[ENV1]golfdriver,5 -1.87 5.3,4.448059 -0.7567015 1.259108,0.1829856 -0.1674558 0.9687491,17127.0769ms, 335823.7333msInstructionRoom2,default-Env2right,manual,[ENV2]Book,-1.38 0.36 2.51,0.072712 0.7959499 1.204511,-0.8159269 -0.2152126 0.5366068,5752.364ms, 365770.9005ms
InstructionRoom2,default-Env2right,manual,[ENV2]Cocaglass,-1.11 0.35 3.33,0.08558112 0.8258476 1.204984,-0.4842789 -0.1036539 0.8687519,9223.9152ms, 369242.452ms
InstructionRoom2,default-Env2right,manual,[ENV2]Skis,2.79 -0.39 3.37,0.1508319 0.8129339 1.166913,0.723492 -0.1444809 0.6750442,30389.0724ms, 390407.6091ms
InstructionRoom2,default-Env2right,manual,[ENV2]apron,2.17 -0.28 5.44,0.1408681 0.83249 1.198164,0.4161018 -0.02237192 0.9090428,34821.93ms, 394840.4669ms
InstructionRoom2,default-Env2left,manual,[ENV2] [OBJ] tennis-racket,0 -0.41 5,0.1320357 0.8088923 1.209717,-0.07808039 -0.1936429 0.9779601,318.3452ms, 442955.4664ms
InstructionRoom2,default-Env2left,manual,[ENV2] [OBJ] bike,-2 -0.42 7,0.169672 0.8150778 1.234267,-0.4047735 -0.1388358 0.9038158,9581.9837ms, 452219.1035ms
Env3,ENV2,manual,[ENV3]Snowboard,-3 -0.5 3.28,-0.3054022 -0.01358795 -0.9780626,-0.6262137 -0.04037281 0.7786056,5336.7026ms, 654516.6001ms
Env3,ENV2,manual,[ENV3] [OBJ] scooter,-2.07 -0.73 3.14,-0.2991545 -0.006173134 -0.9783058,-0.2314479 -0.04558896 0.9717785,16691.9765ms, 665871.8737ms
Env3,ENV2,manual,[ENV3] [OBJ] vaccum,3 -1.15 4.73,-0.2602074 -0.004278183 -1.019285,0.5163165 -0.08712512 0.8519545,30149.9202ms, 679329.8184ms
