InstructionRoom1,default-Env1_right,manual,[ENV1]golfdriver,5 -1.87 5.3,4.400576 -0.7497177 1.278625,0.0578054 -0.07503053 0.9955044,318.0681ms, 313831.7857msInstructionRoom1,default-Env1_right,manual,[ENV1]iCESKATE,1.94 -1.94 4.48,4.346789 -0.7634726 1.271034,-0.6392936 -0.2190441 0.7371049,5371.0087ms, 318884.7255msInstructionRoom1,default-Env1_right,manual,[ENV1]Tie,3 -1.9 3.23,4.376914 -0.7730141 1.235929,-0.5361655 -0.3395241 0.7728195,9702.9591ms, 323216.6757msInstructionRoom2,default-Env2right,manual,[ENV2]Cocaglass,-1.11 0.35 3.33,0.01971102 0.8025055 1.198135,-0.5476636 -0.2808175 0.7881663,8745.4125ms, 363557.665ms
InstructionRoom2,default-Env2right,manual,[ENV2]Basket,-1.39 -0.285 4.72,0.04541481 0.8094625 1.213802,-0.3394304 -0.2086881 0.9171894,15200.1999ms, 370012.4521ms
InstructionRoom2,default-Env2right,manual,[ENV2]Skis,2.79 -0.39 3.37,0.1115727 0.8038416 1.21608,0.6993614 -0.2012398 0.6858544,30597.4563ms, 385409.7084ms
InstructionRoom1,default-Env1_left,manual,[ENV1] [OBJ] leathergloves,2.19 -1.96 2.41,4.376948 -0.786396 1.255526,-0.8651444 -0.3556231 0.3536347,6802.0852ms, 402912.026msInstructionRoom2,default-Env2left,manual,[ENV2] [OBJ] tennis-racket,0 -0.41 5,0.09152454 0.8038607 1.243566,-0.06548705 -0.2472543 0.9667351,310.4187ms, 437717.8443ms
InstructionRoom2,default-Env2left,manual,[ENV2]Book,-1.38 0.36 2.51,0.1239359 0.7889519 1.238955,-0.6959738 -0.2765498 0.662677,8208.1843ms, 445615.6098ms
InstructionRoom1,default-Env1_left,manual,[ENV1]Tennisball,1.11 -1.89 3.56,4.33997 -0.7747879 1.252094,-0.7641254 -0.3117441 0.5647372,6387.2355ms, 485107.9392msInstructionRoom2,default-Env2right,manual,[ENV2] [OBJ] bike,-2 -0.42 7,0.02727175 0.8112087 1.209992,-0.3141145 -0.1644675 0.9350308,15147.355ms, 535157.3779ms
Env3,ENV2,manual,[ENV3]Hammer,-3 -0.57 2.26,-0.4231579 -0.02128792 -1.05479,-0.7431838 -0.1742272 0.6460053,5033.9539ms, 648907.3353ms
Env3,ENV2,manual,[ENV3] [OBJ] vaccum,3 -1.15 4.73,-0.3436798 -0.02624226 -0.9985418,0.5375545 -0.1533209 0.829173,38131.6894ms, 682005.071ms
Env3,ENV1,manual,[ENV3] [OBJ] scooter,-2.07 -0.73 3.14,-0.3509566 -0.02036572 -0.9646177,-0.2586267 -0.1679901 0.9512579,38854.2247ms, 773850.9282ms
Env3,ENV2,manual,[ENV3]bOXINGgLOVES,1.19 -1.18 3.3,-0.3300811 -0.02198887 -0.9885473,0.3809258 -0.1760339 0.9076936,38561.4878ms, 860378.2319ms
