Instruction,Env2_left,manual,[ENV2] [OBJ] tennis-racket,0 -0.41 5,0.1269428 0.8112364 1.212041,-0.01888072 -0.2688311 0.9630023,863.3227ms, 316630.5143ms
Instruction,Env2_left,manual,[ENV2]Book,-1.38 0.36 2.51,0.09351337 0.8106184 1.159434,-0.6699728 -0.2552001 0.6971437,4022.2015ms, 319789.3913ms
Instruction,Env2_left,manual,[ENV2]Cocaglass,-1.11 0.35 3.33,0.1071864 0.8087997 1.177689,-0.5586964 -0.2758721 0.7821463,7197.5348ms, 322964.725ms
Instruction,Env2_left,manual,[ENV2]Skis,2.79 -0.39 3.37,0.1450945 0.8109808 1.207346,0.6622148 -0.3125177 0.6810318,28645.9743ms, 344413.1643ms
Instruction,Env1_right,manual,[ENV1] [OBJ] jeans,1.42 -1.77 1.86,4.377791 -0.7685671 1.216993,-0.9160569 -0.3031853 0.2625236,1707.0695ms, 358756.1565msInstruction,Env1_right,manual,[ENV1]Tennisball,1.11 -1.89 3.56,4.393116 -0.7667227 1.219282,-0.775933 -0.3142391 0.5469751,5036.2567ms, 362085.3437msInstruction,Env1_right,manual,[ENV1]golfdriver,5 -1.87 5.3,4.425616 -0.7539701 1.253461,0.2639151 -0.2668831 0.9268885,14737.2095ms, 371786.2966msInstruction,Env1_left,manual,[ENV1]iCESKATE,1.94 -1.94 4.48,4.400524 -0.7580662 1.213353,-0.6484621 -0.2563334 0.7167915,6998.7995ms, 405336.4688msInstruction,Env1_right,manual,[ENV1] [OBJ] leathergloves,2.19 -1.96 2.41,4.343901 -0.7741728 1.192854,-0.8197986 -0.3279565 0.469441,8545.4161ms, 489482.8818msInstruction,Env1_left,manual,[ENV1] [OBJ] broom1,-1.23 -1.54 4,4.390657 -0.7672682 1.209581,-0.8824094 -0.272788 0.3833282,3847.7012ms, 526053.2189msInstruction,Env1_left,manual,[ENV1]soccerball,3 -1.81 4.72,4.448478 -0.7521353 1.289681,-0.3036212 -0.2492683 0.9196084,37947.3013ms, 560152.819msEnv3,ENV1,manual,[ENV3] [OBJ] socks,-3.42 -0.81 0.65,-0.3219258 -0.008517265 -1.045313,-0.9133702 -0.1601899 0.3742914,2137.8752ms, 648242.3182ms
Env3,ENV1,manual,[ENV3]Hammer,-3 -0.57 2.26,-0.3519859 -0.01053047 -1.050859,-0.7533471 -0.183858 0.6313989,9675.1623ms, 655779.6053ms
Env3,ENV1,manual,[ENV3]bOXINGgLOVES,1.19 -1.18 3.3,-0.3391149 -0.0112524 -1.01356,0.3041032 -0.1557012 0.9398289,26679.4838ms, 672783.927ms
Env3,ENV1,manual,[ENV3] [OBJ] vaccum,3 -1.15 4.73,-0.3345261 -0.009531021 -0.9922247,0.4911915 -0.1331028 0.8608221,38505.6439ms, 881722.7635ms
Env3,ENV2,manual,[ENV3]Snowboard,-3 -0.5 3.28,-0.3315094 -0.008480072 -1.024887,-0.4614643 -0.1334039 0.8770713,13779.8718ms, 938026.1841ms
